OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
OD000147,O17744,P0169,4,251.02,1004.08
OD000148,O04296,P0112,4,423.38,1693.52
OD000149,O06898,P0164,1,216.61,216.61
OD000150,O01957,P0071,1,146.86,146.86
OD000151,O06500,P0093,3,524.41,1573.23
OD000152,O17099,P0119,3,184.94,554.82
OD000153,O11072,P0075,5,269.25,1346.25
OD000154,O09687,P0046,4,499.38,1997.52
OD000155,O18054,P0142,3,303.12,909.36
OD000156,O15966,P0008,4,223.46,893.84
OD000157,O13638,P0118,5,199.52,997.6
OD000158,O11248,P0162,3,80.7,242.1
OD000159,O04957,P0136,3,226.1,678.3
OD000160,O12774,P0167,5,265.03,1325.15
OD000161,O06818,P0060,4,327.36,1309.44
OD000162,O16524,P0057,5,185.42,927.1
OD000163,O17046,P0022,1,343.21,343.21
OD000164,O13555,P0158,3,63.81,191.43
OD000165,O18533,P0198,4,79.79,319.16
OD000166,O05302,P0180,1,47.57,47.57
OD000167,O12639,P0079,4,74.97,299.88
OD000168,O16216,P0163,2,240.44,480.88
OD000169,O09951,P0064,2,181.82,363.64
OD000170,O03373,P0197,4,511.01,2044.04
OD000171,O03849,P0015,1,356.28,356.28
OD000172,O12405,P0060,2,327.36,654.72
OD000173,O15150,P0113,4,347.57,1390.28
OD000174,O19773,P0112,1,423.38,423.38
OD000175,O07421,P0065,3,62.97,188.91
OD000176,O08310,P0028,2,370.0,740.0
OD000177,O19753,P0073,2,171.9,343.8
OD000178,O14270,P0092,1,410.4,410.4
OD000179,O01168,P0056,2,516.74,1033.48
OD000180,O15213,P0035,5,427.56,2137.8
OD000181,O04707,P0100,1,170.87,170.87
OD000182,O00214,P0185,4,279.65,1118.6
OD000183,O04848,P0064,4,181.82,727.28
OD000184,O18637,P0022,3,343.21,1029.63
OD000185,O05552,P0079,3,74.97,224.91
OD000186,O12422,P0179,2,115.48,230.96
OD000187,O08367,P0190,3,554.5,1663.5
OD000188,O10737,P0126,4,478.08,1912.32
OD000189,O10512,P0131,2,334.29,668.58
OD000190,O05592,P0123,3,100.49,301.47
OD000191,O13079,P0161,4,254.55,1018.2
OD000192,O01529,P0136,5,226.1,1130.5
OD000193,O07047,P0094,1,239.61,239.61
OD000194,O05070,P0170,2,359.24,718.48
OD000195,O17764,P0134,3,317.66,952.98
OD000196,O08256,P0073,5,171.9,859.5
OD000197,O00377,P0080,1,562.55,562.55
OD000198,O16953,P0046,4,499.38,1997.52
OD000199,O03829,P0029,1,54.7,54.7
OD000200,O15901,P0138,3,400.8,1202.4
OD000201,O13131,P0025,3,209.5,628.5
OD000202,O01601,P0199,5,568.56,2842.8
OD000203,O05838,P0088,5,120.47,602.35
OD000204,O06611,P0051,1,516.1,516.1
OD000205,O06891,P0106,4,64.16,256.64
OD000206,O01734,P0158,2,63.81,127.62
OD000207,O09754,P0102,5,156.97,784.85
OD000208,O16245,P0142,5,303.12,1515.6
OD000209,O15557,P0122,2,324.25,648.5
OD000210,O18691,P0030,1,519.2,519.2
OD000211,O13935,P0083,5,160.78,803.9
OD000212,O19446,P0131,5,334.29,1671.45
OD000213,O00902,P0019,4,320.63,1282.52
OD000214,O05213,P0059,5,114.52,572.6
OD000215,O02559,P0072,5,582.19,2910.95
OD000216,O16595,P0134,2,317.66,635.32
OD000217,O02947,P0192,5,587.12,2935.6
OD000218,O11520,P0060,2,327.36,654.72
OD000219,O01161,P0072,5,582.19,2910.95
OD000220,O18924,P0130,5,471.59,2357.95
OD000221,O10009,P0193,4,489.97,1959.88
OD000222,O01117,P0165,3,256.81,770.43
OD000223,O14537,P0188,4,320.71,1282.84
OD000224,O17063,P0007,2,416.37,832.74
OD000225,O15813,P0003,3,27.57,82.71
OD000226,O15126,P0068,4,368.39,1473.56
OD000227,O10740,P0195,3,512.77,1538.31
OD000228,O17946,P0014,2,520.3,1040.6
OD000229,O19577,P0183,2,253.2,506.4
OD000230,O10794,P0046,2,499.38,998.76
OD000231,O13863,P0038,1,162.92,162.92
OD000232,O11997,P0126,1,478.08,478.08
OD000233,O08127,P0157,5,117.69,588.45
OD000234,O16471,P0161,1,254.55,254.55
OD000235,O04659,P0013,4,141.68,566.72
OD000236,O00283,P0099,1,122.28,122.28
OD000237,O12001,P0135,1,529.51,529.51
OD000238,O18824,P0071,2,146.86,293.72
OD000239,O05136,P0083,3,160.78,482.34
OD000240,O04071,P0096,4,501.09,2004.36
OD000241,O08936,P0188,4,320.71,1282.84
OD000242,O15997,P0076,4,313.94,1255.76
OD000243,O08115,P0029,5,54.7,273.5
OD000244,O19263,P0178,5,268.6,1343.0
OD000245,O13526,P0012,5,497.52,2487.6
OD000246,O19382,P0140,4,28.02,112.08
OD000247,O08728,P0188,4,320.71,1282.84
OD000248,O08426,P0129,5,273.78,1368.9
OD000249,O02503,P0199,4,568.56,2274.24
OD000250,O11748,P0039,4,498.62,1994.48
OD000251,O15067,P0199,1,568.56,568.56
OD000252,O03578,P0167,4,265.03,1060.12
OD000253,O11419,P0178,5,268.6,1343.0
OD000254,O05533,P0197,3,511.01,1533.03
OD000255,O09240,P0067,3,74.72,224.16
OD000256,O03109,P0025,4,209.5,838.0
OD000257,O03640,P0185,3,279.65,838.95
OD000258,O01332,P0004,3,101.47,304.41
OD000259,O08560,P0016,5,34.47,172.35
OD000260,O18126,P0098,1,246.17,246.17
OD000261,O12939,P0098,3,246.17,738.51
OD000262,O18113,P0121,5,491.35,2456.75
OD000263,O11830,P0038,5,162.92,814.6
OD000264,O15895,P0175,2,123.39,246.78
OD000265,O11526,P0084,2,216.64,433.28
OD000266,O19931,P0121,5,491.35,2456.75
OD000267,O17677,P0034,2,379.93,759.86
OD000268,O01110,P0199,2,568.56,1137.12
OD000269,O04699,P0078,3,259.24,777.72
OD000270,O19094,P0014,2,520.3,1040.6
OD000271,O08001,P0133,2,346.74,693.48
OD000272,O18804,P0034,4,379.93,1519.72
OD000273,O15236,P0147,3,561.52,1684.56
OD000274,O14679,P0053,4,329.99,1319.96
OD000275,O05181,P0082,2,71.82,143.64
OD000276,O14124,P0058,5,451.98,2259.9
OD000277,O09434,P0096,5,501.09,2505.45
OD000278,O15031,P0026,2,526.93,1053.86
OD000279,O06594,P0198,1,79.79,79.79
OD000280,O12436,P0143,4,194.05,776.2
OD000281,O03238,P0065,3,62.97,188.91
OD000282,O02789,P0119,3,184.94,554.82
OD000283,O18876,P0028,5,370.0,1850.0
OD000284,O00739,P0169,2,251.02,502.04
OD000285,O08419,P0156,5,169.31,846.55
OD000286,O00244,P0156,4,169.31,677.24
OD000287,O02329,P0080,4,562.55,2250.2
OD000288,O19672,P0116,1,86.56,86.56
OD000289,O11722,P0039,2,498.62,997.24
OD000290,O18225,P0181,1,137.94,137.94
OD000291,O08378,P0054,1,297.52,297.52
OD000292,O02986,P0085,3,521.62,1564.86
OD000293,O16990,P0170,3,359.24,1077.72
OD000294,O19521,P0014,1,520.3,520.3
OD000295,O19520,P0078,4,259.24,1036.96
OD000296,O14081,P0175,1,123.39,123.39
OD000297,O05215,P0076,3,313.94,941.82
OD000298,O13761,P0032,1,434.51,434.51
OD000299,O04898,P0115,1,590.53,590.53
OD000300,O16458,P0132,3,504.41,1513.23
OD000301,O13386,P0198,3,79.79,239.37
OD000302,O15217,P0126,1,478.08,478.08
OD000303,O11722,P0080,3,562.55,1687.65
OD000304,O00460,P0109,4,415.03,1660.12
OD000305,O18183,P0108,5,128.73,643.65
OD000306,O15877,P0019,4,320.63,1282.52
OD000307,O03405,P0012,4,497.52,1990.08
OD000308,O19912,P0018,1,278.04,278.04
OD000309,O19740,P0071,2,146.86,293.72
OD000310,O14554,P0106,4,64.16,256.64
OD000311,O14483,P0099,4,122.28,489.12
OD000312,O13123,P0041,4,500.86,2003.44
OD000313,O04629,P0119,1,184.94,184.94
OD000314,O19052,P0137,1,48.56,48.56
OD000315,O17667,P0027,4,344.79,1379.16
OD000316,O16989,P0049,5,524.2,2621.0
OD000317,O03669,P0039,4,498.62,1994.48
OD000318,O06480,P0101,1,251.11,251.11
OD000319,O12660,P0087,2,523.1,1046.2
OD000320,O07570,P0066,3,318.12,954.36
OD000321,O17172,P0055,2,146.64,293.28
OD000322,O09449,P0017,4,174.46,697.84
OD000323,O15231,P0137,3,48.56,145.68
OD000324,O10127,P0055,4,146.64,586.56
OD000325,O01925,P0048,5,449.27,2246.35
OD000326,O16960,P0043,4,392.36,1569.44
OD000327,O14998,P0138,4,400.8,1603.2
OD000328,O19114,P0082,2,71.82,143.64
OD000329,O07193,P0101,4,251.11,1004.44
OD000330,O16274,P0175,2,123.39,246.78
OD000331,O10276,P0141,1,306.72,306.72
OD000332,O15568,P0055,2,146.64,293.28
OD000333,O01890,P0032,5,434.51,2172.55
OD000334,O10925,P0075,4,269.25,1077.0
OD000335,O12390,P0138,2,400.8,801.6
OD000336,O03493,P0092,1,410.4,410.4
OD000337,O04659,P0121,5,491.35,2456.75
OD000338,O13118,P0020,1,377.41,377.41
OD000339,O11389,P0039,1,498.62,498.62
OD000340,O07058,P0176,5,250.73,1253.65
OD000341,O12420,P0098,3,246.17,738.51
OD000342,O18491,P0023,1,444.86,444.86
OD000343,O05901,P0159,4,473.08,1892.32
OD000344,O19513,P0030,2,519.2,1038.4
OD000345,O14148,P0037,1,142.32,142.32
OD000346,O05521,P0200,1,378.2,378.2
OD000347,O17933,P0168,2,417.68,835.36
OD000348,O05539,P0106,2,64.16,128.32
OD000349,O13076,P0015,1,356.28,356.28
OD000350,O18081,P0094,4,239.61,958.44
OD000351,O05465,P0011,4,216.91,867.64
OD000352,O12307,P0094,4,239.61,958.44
OD000353,O18945,P0106,1,64.16,64.16
OD000354,O05905,P0019,3,320.63,961.89
OD000355,O08586,P0141,5,306.72,1533.6
OD000356,O11244,P0094,4,239.61,958.44
OD000357,O02399,P0097,5,181.76,908.8
OD000358,O02792,P0163,3,240.44,721.32
OD000359,O16121,P0050,2,430.99,861.98
OD000360,O08082,P0100,4,170.87,683.48
OD000361,O10296,P0185,5,279.65,1398.25
OD000362,O01260,P0123,3,100.49,301.47
OD000363,O06545,P0119,3,184.94,554.82
OD000364,O00547,P0111,4,578.02,2312.08
OD000365,O03965,P0112,5,423.38,2116.9
OD000366,O11294,P0164,3,216.61,649.83
OD000367,O08154,P0140,5,28.02,140.1
OD000368,O15909,P0052,4,591.27,2365.08
OD000369,O00846,P0035,3,427.56,1282.68
OD000370,O05962,P0192,4,587.12,2348.48
OD000371,O17175,P0164,5,216.61,1083.05
OD000372,O00528,P0137,1,48.56,48.56
OD000373,O00085,P0137,2,48.56,97.12
OD000374,O09725,P0149,2,477.67,955.34
OD000375,O02676,P0129,3,273.78,821.34
OD000376,O01907,P0091,3,66.57,199.71
OD000377,O07432,P0005,1,168.41,168.41
OD000378,O09640,P0036,5,160.41,802.05
OD000379,O06404,P0103,2,12.08,24.16
OD000380,O10461,P0110,3,114.53,343.59
OD000381,O06071,P0046,2,499.38,998.76
OD000382,O08386,P0071,3,146.86,440.58
OD000383,O05681,P0162,1,80.7,80.7
OD000384,O06332,P0077,3,141.31,423.93
OD000385,O07568,P0005,5,168.41,842.05
OD000386,O02979,P0100,5,170.87,854.35
OD000387,O07977,P0049,4,524.2,2096.8
OD000388,O04037,P0041,5,500.86,2504.3
OD000389,O14877,P0107,1,318.81,318.81
OD000390,O19358,P0150,5,251.01,1255.05
OD000391,O16394,P0073,1,171.9,171.9
OD000392,O00051,P0113,4,347.57,1390.28
OD000393,O04646,P0014,5,520.3,2601.5
OD000394,O17315,P0081,1,580.49,580.49
OD000395,O14544,P0098,2,246.17,492.34
OD000396,O18520,P0078,5,259.24,1296.2
OD000397,O12867,P0133,1,346.74,346.74
OD000398,O18912,P0144,3,254.25,762.75
OD000399,O07884,P0099,3,122.28,366.84
OD000400,O05437,P0152,5,373.01,1865.05
OD000401,O04879,P0072,4,582.19,2328.76
OD000402,O01393,P0116,5,86.56,432.8
OD000403,O16984,P0126,3,478.08,1434.24
OD000404,O11656,P0023,4,444.86,1779.44
OD000405,O10568,P0002,2,478.19,956.38
OD000406,O00309,P0078,2,259.24,518.48
OD000407,O02835,P0040,1,177.49,177.49
OD000408,O16703,P0043,3,392.36,1177.08
OD000409,O04517,P0194,4,548.36,2193.44
OD000410,O07336,P0145,5,259.84,1299.2
OD000411,O08371,P0074,2,282.73,565.46
OD000412,O15904,P0065,5,62.97,314.85
OD000413,O13398,P0162,5,80.7,403.5
OD000414,O16898,P0113,4,347.57,1390.28
OD000415,O16945,P0138,2,400.8,801.6
OD000416,O10375,P0126,5,478.08,2390.4
OD000417,O16481,P0137,4,48.56,194.24
OD000418,O04880,P0111,5,578.02,2890.1
OD000419,O14025,P0130,1,471.59,471.59
OD000420,O16484,P0052,5,591.27,2956.35
OD000421,O01406,P0077,1,141.31,141.31
OD000422,O05039,P0147,3,561.52,1684.56
OD000423,O13033,P0062,1,354.7,354.7
OD000424,O17406,P0113,3,347.57,1042.71
OD000425,O19359,P0137,2,48.56,97.12
OD000426,O13949,P0148,4,96.04,384.16
OD000427,O19486,P0172,1,292.58,292.58
OD000428,O17345,P0080,3,562.55,1687.65
OD000429,O14329,P0128,3,544.24,1632.72
OD000430,O09165,P0140,1,28.02,28.02
OD000431,O02694,P0180,4,47.57,190.28
OD000432,O09667,P0085,1,521.62,521.62
OD000433,O01649,P0186,3,101.22,303.66
OD000434,O11391,P0162,5,80.7,403.5
OD000435,O16431,P0031,2,365.5,731.0
OD000436,O03473,P0156,4,169.31,677.24
OD000437,O12510,P0122,3,324.25,972.75
OD000438,O05492,P0106,4,64.16,256.64
OD000439,O07032,P0177,5,328.46,1642.3
OD000440,O14457,P0195,1,512.77,512.77
OD000441,O09136,P0013,3,141.68,425.04
OD000442,O00483,P0087,1,523.1,523.1
OD000443,O19993,P0017,2,174.46,348.92
OD000444,O03358,P0134,2,317.66,635.32
OD000445,O12016,P0164,3,216.61,649.83
OD000446,O12248,P0147,4,561.52,2246.08
OD000447,O17763,P0137,2,48.56,97.12
OD000448,O18218,P0114,1,352.5,352.5
OD000449,O17679,P0141,2,306.72,613.44
OD000450,O03836,P0122,1,324.25,324.25
OD000451,O08295,P0014,2,520.3,1040.6
OD000452,O13396,P0017,5,174.46,872.3
OD000453,O10135,P0188,4,320.71,1282.84
OD000454,O04009,P0068,4,368.39,1473.56
OD000455,O07408,P0150,1,251.01,251.01
OD000456,O02468,P0022,4,343.21,1372.84
OD000457,O14465,P0121,2,491.35,982.7
OD000458,O03438,P0086,4,382.17,1528.68
OD000459,O04444,P0062,4,354.7,1418.8
OD000460,O01113,P0037,1,142.32,142.32
OD000461,O05026,P0151,5,500.53,2502.65
OD000462,O04156,P0092,1,410.4,410.4
OD000463,O01148,P0025,4,209.5,838.0
OD000464,O11747,P0192,2,587.12,1174.24
OD000465,O11875,P0198,3,79.79,239.37
OD000466,O01234,P0095,1,402.16,402.16
OD000467,O00155,P0173,1,336.58,336.58
OD000468,O01837,P0149,3,477.67,1433.01
OD000469,O02855,P0190,2,554.5,1109.0
OD000470,O12808,P0050,1,430.99,430.99
OD000471,O00594,P0062,2,354.7,709.4
OD000472,O08515,P0109,5,415.03,2075.15
OD000473,O16827,P0045,4,79.84,319.36
OD000474,O09752,P0039,3,498.62,1495.86
OD000475,O05373,P0032,1,434.51,434.51
OD000476,O02446,P0075,5,269.25,1346.25
OD000477,O18065,P0076,1,313.94,313.94
OD000478,O07435,P0118,5,199.52,997.6
OD000479,O15866,P0049,1,524.2,524.2
OD000480,O15400,P0054,4,297.52,1190.08
OD000481,O15024,P0130,1,471.59,471.59
OD000482,O07406,P0053,4,329.99,1319.96
OD000483,O15633,P0114,2,352.5,705.0
OD000484,O06409,P0091,2,66.57,133.14
OD000485,O12853,P0195,5,512.77,2563.85
OD000486,O12361,P0080,5,562.55,2812.75
OD000487,O00342,P0198,3,79.79,239.37
OD000488,O10988,P0013,3,141.68,425.04
OD000489,O05363,P0088,1,120.47,120.47
OD000490,O18102,P0035,1,427.56,427.56
OD000491,O15770,P0193,5,489.97,2449.85
OD000492,O19720,P0162,1,80.7,80.7
OD000493,O16874,P0067,1,74.72,74.72
OD000494,O18604,P0070,5,586.6,2933.0
OD000495,O08819,P0073,3,171.9,515.7
OD000496,O00515,P0082,5,71.82,359.1
OD000497,O11862,P0124,3,483.43,1450.29
OD000498,O17264,P0049,5,524.2,2621.0
OD000499,O00643,P0171,4,250.72,1002.88
OD000500,O09180,P0007,5,416.37,2081.85
OD000501,O02364,P0170,4,359.24,1436.96
OD000502,O11792,P0102,3,156.97,470.91
OD000503,O10894,P0041,1,500.86,500.86
OD000504,O16211,P0095,1,402.16,402.16
OD000505,O10337,P0036,4,160.41,641.64
OD000506,O07977,P0172,1,292.58,292.58
OD000507,O11095,P0187,2,281.72,563.44
OD000508,O04115,P0138,1,400.8,400.8
OD000509,O07606,P0139,1,507.54,507.54
OD000510,O10069,P0054,5,297.52,1487.6
OD000511,O19781,P0088,1,120.47,120.47
OD000512,O02607,P0089,1,535.94,535.94
OD000513,O08472,P0113,5,347.57,1737.85
OD000514,O09368,P0008,1,223.46,223.46
OD000515,O04129,P0036,2,160.41,320.82
OD000516,O06076,P0100,3,170.87,512.61
OD000517,O15136,P0114,3,352.5,1057.5
OD000518,O08521,P0027,3,344.79,1034.37
OD000519,O07843,P0076,2,313.94,627.88
OD000520,O04402,P0094,2,239.61,479.22
OD000521,O09724,P0051,1,516.1,516.1
OD000522,O06664,P0193,5,489.97,2449.85
OD000523,O19027,P0052,2,591.27,1182.54
OD000524,O00114,P0083,5,160.78,803.9
OD000525,O10017,P0130,4,471.59,1886.36
OD000526,O19984,P0128,5,544.24,2721.2
OD000527,O06130,P0185,5,279.65,1398.25
OD000528,O14877,P0177,1,328.46,328.46
OD000529,O07267,P0106,1,64.16,64.16
OD000530,O07348,P0197,5,511.01,2555.05
OD000531,O12081,P0145,4,259.84,1039.36
OD000532,O04193,P0118,3,199.52,598.56
OD000533,O17796,P0184,2,428.53,857.06
OD000534,O12337,P0086,4,382.17,1528.68
OD000535,O10897,P0089,1,535.94,535.94
OD000536,O10691,P0044,5,391.56,1957.8
OD000537,O08185,P0005,3,168.41,505.23
OD000538,O07478,P0189,3,458.99,1376.97
OD000539,O14101,P0110,3,114.53,343.59
OD000540,O03630,P0037,1,142.32,142.32
OD000541,O01033,P0129,3,273.78,821.34
OD000542,O08902,P0171,5,250.72,1253.6
OD000543,O09312,P0089,5,535.94,2679.7
OD000544,O16841,P0154,2,207.17,414.34
OD000545,O12081,P0111,3,578.02,1734.06
OD000546,O07492,P0065,2,62.97,125.94
OD000547,O09539,P0080,1,562.55,562.55
OD000548,O08092,P0189,5,458.99,2294.95
OD000549,O12309,P0037,1,142.32,142.32
OD000550,O01692,P0006,2,549.08,1098.16
OD000551,O17887,P0077,2,141.31,282.62
OD000552,O17330,P0169,1,251.02,251.02
OD000553,O14104,P0076,3,313.94,941.82
OD000554,O13127,P0061,2,164.97,329.94
OD000555,O10892,P0117,1,399.85,399.85
OD000556,O05290,P0106,3,64.16,192.48
OD000557,O04462,P0013,3,141.68,425.04
OD000558,O01933,P0071,1,146.86,146.86
OD000559,O12685,P0157,2,117.69,235.38
OD000560,O00681,P0115,3,590.53,1771.59
OD000561,O03213,P0155,2,325.81,651.62
OD000562,O17052,P0102,2,156.97,313.94
OD000563,O15903,P0007,5,416.37,2081.85
OD000564,O14561,P0158,1,63.81,63.81
OD000565,O12227,P0095,4,402.16,1608.64
OD000566,O19702,P0004,1,101.47,101.47
OD000567,O14126,P0124,1,483.43,483.43
OD000568,O18514,P0023,3,444.86,1334.58
OD000569,O11300,P0188,5,320.71,1603.55
OD000570,O18806,P0044,5,391.56,1957.8
OD000571,O14529,P0198,2,79.79,159.58
OD000572,O13723,P0141,2,306.72,613.44
OD000573,O00210,P0003,1,27.57,27.57
OD000574,O15708,P0082,3,71.82,215.46
OD000575,O00331,P0004,4,101.47,405.88
OD000576,O01371,P0142,2,303.12,606.24
OD000577,O13983,P0083,5,160.78,803.9
OD000578,O09333,P0127,5,290.85,1454.25
OD000579,O17057,P0168,3,417.68,1253.04
OD000580,O15982,P0167,1,265.03,265.03
OD000581,O03374,P0006,4,549.08,2196.32
OD000582,O19050,P0089,2,535.94,1071.88
OD000583,O16536,P0179,3,115.48,346.44
OD000584,O17120,P0158,4,63.81,255.24
OD000585,O15106,P0151,2,500.53,1001.06
OD000586,O02523,P0051,2,516.1,1032.2
OD000587,O09080,P0009,2,475.89,951.78
OD000588,O02030,P0041,2,500.86,1001.72
OD000589,O18216,P0113,2,347.57,695.14
OD000590,O08342,P0105,3,215.98,647.94
OD000591,O04038,P0088,1,120.47,120.47
OD000592,O01357,P0195,5,512.77,2563.85
OD000593,O19333,P0068,5,368.39,1841.95
OD000594,O17902,P0170,1,359.24,359.24
OD000595,O09839,P0140,4,28.02,112.08
