OrderID,CustomerID,StoreID,OrderDate,OrderTime,OrderDateTime,Status,TotalAmount,DeliveryTime_minutes
O00040,C2517,S012,2025-11-10,01:41:36,2025-11-10 01:41:36,cancelled,0.0,0
O00041,C2082,S050,2025-10-29,02:19:40,2025-10-29 02:19:40,completed,114.18,26
O00042,C0205,S008,2025-10-26,16:35:32,2025-10-26 16:35:32,completed,1663.82,30
O00043,C1895,S042,2025-11-07,02:46:48,2025-11-07 02:46:48,completed,672.87,23
O00044,C0724,S042,2025-11-07,21:06:22,2025-11-07 21:06:22,cancelled,0.0,0
O00045,C0248,S043,2025-11-03,20:03:30,2025-11-03 20:03:30,cancelled,0.0,0
O00046,C2584,S012,2025-11-08,00:41:15,2025-11-08 00:41:15,cancelled,0.0,0
O00047,C0457,S024,2025-11-19,10:07:22,2025-11-19 10:07:22,completed,930.1,43
O00048,C0720,S007,2025-11-22,08:57:44,2025-11-22 08:57:44,cancelled,0.0,0
O00049,C1803,S036,2025-11-04,09:46:45,2025-11-04 09:46:45,cancelled,0.0,0
O00050,C1273,S013,2025-10-24,21:15:11,2025-10-24 21:15:11,completed,526.1,34
O00051,C1712,S036,2025-11-09,09:34:50,2025-11-09 09:34:50,cancelled,0.0,0
O00052,C0295,S004,2025-11-07,11:16:06,2025-11-07 11:16:06,completed,967.65,16
O00053,C1046,S045,2025-11-04,01:45:31,2025-11-04 01:45:31,completed,1966.23,42
O00054,C2195,S045,2025-11-21,05:00:43,2025-11-21 05:00:43,completed,352.64,15
O00055,C1920,S006,2025-11-10,17:53:13,2025-11-10 17:53:13,cancelled,0.0,0
O00056,C2257,S045,2025-11-02,20:04:03,2025-11-02 20:04:03,cancelled,0.0,0
O00057,C0381,S018,2025-11-08,22:01:15,2025-11-08 22:01:15,cancelled,0.0,0
O00058,C1622,S016,2025-10-31,05:37:15,2025-10-31 05:37:15,completed,1366.04,19
O00059,C0347,S043,2025-11-12,14:11:55,2025-11-12 14:11:55,completed,629.98,21
O00060,C0967,S021,2025-11-17,19:18:01,2025-11-17 19:18:01,completed,1848.24,44
O00061,C1747,S026,2025-12-01,02:29:59,2025-12-01 02:29:59,cancelled,0.0,0
O00062,C1848,S018,2025-11-11,02:02:49,2025-11-11 02:02:49,completed,1316.12,38
O00063,C2856,S029,2025-11-28,13:48:43,2025-11-28 13:48:43,cancelled,0.0,0
O00064,C0916,S034,2025-11-17,05:20:38,2025-11-17 05:20:38,cancelled,0.0,0
O00065,C2780,S047,2025-11-13,14:59:20,2025-11-13 14:59:20,completed,1752.51,24
O00066,C1223,S050,2025-10-18,23:08:18,2025-10-18 23:08:18,cancelled,0.0,0
O00067,C2552,S009,2025-11-12,09:52:47,2025-11-12 09:52:47,cancelled,0.0,0
O00068,C1818,S044,2025-11-14,13:35:23,2025-11-14 13:35:23,completed,495.07,45
O00069,C1964,S007,2025-10-19,11:41:34,2025-10-19 11:41:34,cancelled,0.0,0
O00070,C2123,S029,2025-11-24,20:22:24,2025-11-24 20:22:24,completed,906.79,34
O00071,C2004,S040,2025-12-01,16:10:00,2025-12-01 16:10:00,cancelled,0.0,0
O00072,C0564,S045,2025-10-31,09:21:52,2025-10-31 09:21:52,cancelled,0.0,0
O00073,C1169,S007,2025-11-26,10:16:02,2025-11-26 10:16:02,completed,370.93,24
O00074,C1895,S013,2025-11-15,21:24:09,2025-11-15 21:24:09,completed,585.3,23
O00075,C1283,S013,2025-11-25,16:51:23,2025-11-25 16:51:23,cancelled,0.0,0
O00076,C1221,S039,2025-10-21,08:32:50,2025-10-21 08:32:50,completed,1003.81,15
O00077,C2125,S016,2025-11-24,10:51:40,2025-11-24 10:51:40,completed,1016.71,33
O00078,C2410,S042,2025-11-11,03:44:49,2025-11-11 03:44:49,cancelled,0.0,0
O00079,C2721,S041,2025-10-18,18:23:26,2025-10-18 18:23:26,completed,215.02,33
O00080,C2095,S021,2025-10-25,05:46:10,2025-10-25 05:46:10,completed,1227.38,34
O00081,C1266,S014,2025-11-08,14:13:29,2025-11-08 14:13:29,cancelled,0.0,0
O00082,C0032,S047,2025-10-24,08:32:44,2025-10-24 08:32:44,completed,1633.06,36
O00083,C0928,S024,2025-11-28,10:55:11,2025-11-28 10:55:11,completed,1718.18,39
O00084,C2465,S022,2025-10-20,22:32:29,2025-10-20 22:32:29,completed,1938.1,34
O00085,C2204,S039,2025-11-18,01:01:40,2025-11-18 01:01:40,cancelled,0.0,0
O00086,C1723,S013,2025-11-13,19:14:12,2025-11-13 19:14:12,completed,1508.33,40
O00087,C1666,S028,2025-11-08,07:45:45,2025-11-08 07:45:45,completed,1569.0,19
O00088,C0862,S036,2025-10-26,17:50:19,2025-10-26 17:50:19,cancelled,0.0,0
O00089,C0380,S018,2025-10-30,01:58:28,2025-10-30 01:58:28,completed,1978.47,40
O00090,C1842,S012,2025-10-27,15:20:50,2025-10-27 15:20:50,completed,714.14,29
O00091,C0566,S023,2025-11-21,23:57:24,2025-11-21 23:57:24,cancelled,0.0,0
O00092,C1469,S017,2025-10-20,23:04:40,2025-10-20 23:04:40,cancelled,0.0,0
O00093,C2817,S017,2025-11-16,13:39:16,2025-11-16 13:39:16,cancelled,0.0,0
O00094,C0342,S004,2025-11-09,03:15:43,2025-11-09 03:15:43,completed,1424.11,19
O00095,C0208,S001,2025-10-19,19:05:45,2025-10-19 19:05:45,cancelled,0.0,0
O00096,C0504,S002,2025-11-24,18:13:59,2025-11-24 18:13:59,completed,716.3,35
O00097,C1000,S007,2025-11-22,22:53:21,2025-11-22 22:53:21,cancelled,0.0,0
O00098,C2521,S012,2025-11-30,04:27:25,2025-11-30 04:27:25,completed,267.04,27
O00099,C2348,S025,2025-11-10,11:13:36,2025-11-10 11:13:36,cancelled,0.0,0
O00100,C0380,S023,2025-11-12,04:59:48,2025-11-12 04:59:48,completed,666.85,26
O00101,C0927,S042,2025-11-01,04:14:03,2025-11-01 04:14:03,completed,734.93,36
O00102,C1782,S023,2025-11-21,09:22:36,2025-11-21 09:22:36,cancelled,0.0,0
O00103,C1739,S040,2025-11-28,06:35:57,2025-11-28 06:35:57,cancelled,0.0,0
O00104,C0728,S017,2025-11-03,06:41:58,2025-11-03 06:41:58,cancelled,0.0,0
O00105,C2020,S023,2025-10-30,17:04:37,2025-10-30 17:04:37,completed,73.66,24
O00106,C1454,S031,2025-11-10,17:11:55,2025-11-10 17:11:55,completed,552.52,42
O00107,C1591,S029,2025-10-22,00:53:17,2025-10-22 00:53:17,cancelled,0.0,0
O00108,C0894,S006,2025-11-25,23:14:46,2025-11-25 23:14:46,completed,1712.57,42
O00109,C2264,S026,2025-11-07,17:55:54,2025-11-07 17:55:54,cancelled,0.0,0
O00110,C1015,S039,2025-11-19,22:31:54,2025-11-19 22:31:54,cancelled,0.0,0
O00111,C0195,S034,2025-11-13,21:55:07,2025-11-13 21:55:07,completed,321.77,33
O00112,C0750,S025,2025-11-26,04:28:59,2025-11-26 04:28:59,completed,817.09,42
O00113,C0135,S022,2025-11-27,22:22:44,2025-11-27 22:22:44,completed,128.37,23
O00114,C2411,S013,2025-11-29,01:48:34,2025-11-29 01:48:34,cancelled,0.0,0
O00115,C0762,S039,2025-11-27,14:17:15,2025-11-27 14:17:15,completed,1203.77,34
O00116,C2432,S011,2025-11-08,09:27:53,2025-11-08 09:27:53,completed,1540.2,38
O00117,C0782,S010,2025-11-14,16:01:13,2025-11-14 16:01:13,completed,1948.35,40
O00118,C1874,S045,2025-11-23,20:31:47,2025-11-23 20:31:47,cancelled,0.0,0
O00119,C0810,S014,2025-11-09,22:45:33,2025-11-09 22:45:33,completed,1913.13,41
O00120,C1174,S012,2025-11-08,12:18:49,2025-11-08 12:18:49,cancelled,0.0,0
O00121,C1366,S045,2025-11-17,18:52:00,2025-11-17 18:52:00,cancelled,0.0,0
O00122,C0658,S013,2025-11-11,23:42:19,2025-11-11 23:42:19,cancelled,0.0,0
O00123,C1519,S018,2025-11-14,09:01:44,2025-11-14 09:01:44,completed,759.14,26
O00124,C1372,S012,2025-10-23,19:16:41,2025-10-23 19:16:41,cancelled,0.0,0
O00125,C1827,S002,2025-11-06,20:12:46,2025-11-06 20:12:46,completed,403.04,22
O00126,C2134,S025,2025-11-26,13:35:20,2025-11-26 13:35:20,cancelled,0.0,0
O00127,C1112,S036,2025-10-29,10:33:40,2025-10-29 10:33:40,completed,423.49,19
O00128,C1145,S009,2025-11-23,07:49:03,2025-11-23 07:49:03,completed,1738.53,32
O00129,C0871,S006,2025-11-12,00:07:46,2025-11-12 00:07:46,completed,73.3,44
O00130,C2776,S028,2025-11-17,05:25:35,2025-11-17 05:25:35,cancelled,0.0,0
O00131,C2452,S036,2025-10-22,06:15:04,2025-10-22 06:15:04,cancelled,0.0,0
O00132,C2631,S020,2025-11-17,00:07:22,2025-11-17 00:07:22,cancelled,0.0,0
O00133,C1406,S034,2025-11-26,22:28:10,2025-11-26 22:28:10,completed,1999.95,24
O00134,C0986,S028,2025-11-15,06:29:15,2025-11-15 06:29:15,completed,1649.86,20
O00135,C2989,S020,2025-10-29,07:18:03,2025-10-29 07:18:03,completed,148.2,31
O00136,C2262,S005,2025-11-12,21:40:55,2025-11-12 21:40:55,completed,1675.53,33
O00137,C2614,S016,2025-10-26,20:05:55,2025-10-26 20:05:55,completed,938.05,35
O00138,C1011,S001,2025-11-20,23:47:54,2025-11-20 23:47:54,completed,424.78,37
O00139,C2682,S038,2025-11-07,11:00:20,2025-11-07 11:00:20,cancelled,0.0,0
O00140,C2029,S033,2025-11-28,21:35:30,2025-11-28 21:35:30,cancelled,0.0,0
O00141,C2967,S046,2025-11-15,12:08:41,2025-11-15 12:08:41,cancelled,0.0,0
O00142,C1066,S011,2025-10-28,13:52:05,2025-10-28 13:52:05,cancelled,0.0,0
O00143,C0501,S038,2025-10-22,12:05:26,2025-10-22 12:05:26,completed,974.27,41
O00144,C2494,S048,2025-11-22,22:28:07,2025-11-22 22:28:07,completed,780.65,41
O00145,C1551,S006,2025-11-10,19:52:19,2025-11-10 19:52:19,cancelled,0.0,0
O00146,C1976,S007,2025-11-24,23:30:12,2025-11-24 23:30:12,completed,102.16,16
O00147,C1871,S014,2025-10-26,00:55:11,2025-10-26 00:55:11,cancelled,0.0,0
O00148,C2341,S037,2025-10-22,18:42:00,2025-10-22 18:42:00,completed,307.22,22
O00149,C1533,S017,2025-11-02,10:05:31,2025-11-02 10:05:31,completed,164.57,41
O00150,C2681,S008,2025-12-01,06:29:47,2025-12-01 06:29:47,cancelled,0.0,0
O00151,C2412,S044,2025-11-25,04:11:02,2025-11-25 04:11:02,cancelled,0.0,0
O00152,C2244,S010,2025-11-11,09:45:06,2025-11-11 09:45:06,cancelled,0.0,0
O00153,C0528,S049,2025-11-21,12:25:52,2025-11-21 12:25:52,completed,428.0,15
O00154,C0059,S019,2025-11-05,15:32:47,2025-11-05 15:32:47,completed,1005.56,16
O00155,C2376,S007,2025-11-12,16:03:51,2025-11-12 16:03:51,completed,1774.37,44
O00156,C0967,S039,2025-10-23,22:33:10,2025-10-23 22:33:10,cancelled,0.0,0
O00157,C0223,S031,2025-10-18,16:05:55,2025-10-18 16:05:55,completed,598.33,17
O00158,C0672,S041,2025-10-29,11:22:07,2025-10-29 11:22:07,completed,655.42,15
O00159,C2158,S045,2025-10-25,14:40:46,2025-10-25 14:40:46,completed,1289.19,20
O00160,C2702,S004,2025-10-18,01:03:09,2025-10-18 01:03:09,completed,1246.92,41
O00161,C2680,S020,2025-10-20,17:50:30,2025-10-20 17:50:30,completed,55.24,37
O00162,C0144,S048,2025-10-19,14:41:37,2025-10-19 14:41:37,cancelled,0.0,0
O00163,C1355,S041,2025-11-27,03:43:13,2025-11-27 03:43:13,cancelled,0.0,0
O00164,C0233,S040,2025-11-19,23:18:29,2025-11-19 23:18:29,completed,1534.15,31
O00165,C0658,S036,2025-11-11,05:56:25,2025-11-11 05:56:25,cancelled,0.0,0
O00166,C0884,S045,2025-11-05,14:55:13,2025-11-05 14:55:13,completed,1339.95,21
O00167,C0689,S045,2025-11-08,21:29:43,2025-11-08 21:29:43,cancelled,0.0,0
O00168,C0978,S004,2025-11-28,04:05:07,2025-11-28 04:05:07,cancelled,0.0,0
O00169,C0627,S009,2025-11-02,00:02:19,2025-11-02 00:02:19,cancelled,0.0,0
O00170,C1056,S011,2025-10-31,00:50:37,2025-10-31 00:50:37,completed,358.91,36
O00171,C0431,S025,2025-11-27,12:04:31,2025-11-27 12:04:31,cancelled,0.0,0
O00172,C2297,S028,2025-11-17,17:09:34,2025-11-17 17:09:34,cancelled,0.0,0
O00173,C1794,S005,2025-10-28,20:58:26,2025-10-28 20:58:26,cancelled,0.0,0
O00174,C2925,S009,2025-12-01,17:33:37,2025-12-01 17:33:37,completed,520.39,34
O00175,C1418,S035,2025-11-06,19:26:24,2025-11-06 19:26:24,completed,500.05,24
O00176,C1136,S044,2025-11-30,10:04:24,2025-11-30 10:04:24,completed,1584.3,35
O00177,C2496,S023,2025-10-19,17:28:01,2025-10-19 17:28:01,completed,1626.14,39
O00178,C1849,S048,2025-11-01,03:46:10,2025-11-01 03:46:10,completed,515.32,44
O00179,C1462,S006,2025-11-18,21:30:51,2025-11-18 21:30:51,completed,651.56,32
O00180,C0486,S005,2025-11-28,19:17:38,2025-11-28 19:17:38,completed,1339.63,41
O00181,C0434,S021,2025-11-10,00:44:49,2025-11-10 00:44:49,cancelled,0.0,0
O00182,C0119,S022,2025-11-04,01:06:05,2025-11-04 01:06:05,cancelled,0.0,0
O00183,C1554,S027,2025-11-27,11:33:42,2025-11-27 11:33:42,cancelled,0.0,0
O00184,C1827,S019,2025-11-08,06:36:53,2025-11-08 06:36:53,cancelled,0.0,0
O00185,C1924,S017,2025-11-04,17:57:56,2025-11-04 17:57:56,completed,660.22,21
O00186,C2821,S005,2025-11-10,23:37:17,2025-11-10 23:37:17,completed,317.23,36
O00187,C1962,S048,2025-11-07,10:51:56,2025-11-07 10:51:56,completed,1660.82,30
O00188,C0391,S030,2025-10-27,17:41:59,2025-10-27 17:41:59,cancelled,0.0,0
O00189,C1895,S001,2025-11-14,00:31:58,2025-11-14 00:31:58,completed,651.87,26
O00190,C1390,S040,2025-11-06,15:31:48,2025-11-06 15:31:48,completed,1424.11,18
O00191,C1335,S031,2025-11-22,20:34:40,2025-11-22 20:34:40,cancelled,0.0,0
O00192,C1440,S045,2025-11-30,08:20:21,2025-11-30 08:20:21,cancelled,0.0,0
O00193,C2065,S048,2025-11-27,20:24:37,2025-11-27 20:24:37,cancelled,0.0,0
O00194,C1502,S036,2025-10-26,02:17:46,2025-10-26 02:17:46,completed,73.83,16
O00195,C1118,S016,2025-10-20,19:36:06,2025-10-20 19:36:06,completed,449.98,36
O00196,C1452,S034,2025-12-01,05:07:01,2025-12-01 05:07:01,completed,708.37,28
O00197,C2611,S003,2025-10-30,09:33:35,2025-10-30 09:33:35,cancelled,0.0,0
O00198,C2608,S021,2025-11-14,11:08:40,2025-11-14 11:08:40,completed,708.52,44
O00199,C0096,S036,2025-10-18,08:16:16,2025-10-18 08:16:16,cancelled,0.0,0
O00200,C0392,S005,2025-11-19,02:24:50,2025-11-19 02:24:50,cancelled,0.0,0
O00201,C2611,S005,2025-11-11,05:14:18,2025-11-11 05:14:18,cancelled,0.0,0
O00202,C2636,S004,2025-10-30,11:53:25,2025-10-30 11:53:25,completed,1426.82,44
O00203,C2725,S020,2025-11-03,16:40:34,2025-11-03 16:40:34,completed,112.22,30
O00204,C2263,S005,2025-11-02,05:15:23,2025-11-02 05:15:23,cancelled,0.0,0
O00205,C1093,S046,2025-11-21,22:04:29,2025-11-21 22:04:29,cancelled,0.0,0
O00206,C0937,S007,2025-10-20,21:37:14,2025-10-20 21:37:14,completed,1616.63,40
O00207,C1622,S023,2025-10-18,03:52:46,2025-10-18 03:52:46,cancelled,0.0,0
O00208,C1032,S015,2025-12-01,23:30:51,2025-12-01 23:30:51,cancelled,0.0,0
O00209,C1774,S023,2025-10-27,07:19:46,2025-10-27 07:19:46,cancelled,0.0,0
O00210,C2693,S033,2025-10-24,09:40:09,2025-10-24 09:40:09,completed,1086.05,44
O00211,C2688,S020,2025-10-23,04:08:12,2025-10-23 04:08:12,completed,1577.19,36
O00212,C2389,S016,2025-11-25,07:52:53,2025-11-25 07:52:53,completed,399.5,44
O00213,C2410,S007,2025-11-18,01:42:13,2025-11-18 01:42:13,cancelled,0.0,0
O00214,C1774,S029,2025-11-15,07:57:24,2025-11-15 07:57:24,completed,1965.47,23
O00215,C2956,S008,2025-10-23,19:03:58,2025-10-23 19:03:58,cancelled,0.0,0
O00216,C1204,S008,2025-11-15,21:10:39,2025-11-15 21:10:39,cancelled,0.0,0
O00217,C1510,S021,2025-11-04,10:45:04,2025-11-04 10:45:04,completed,831.93,27
O00218,C2532,S035,2025-11-19,06:51:01,2025-11-19 06:51:01,cancelled,0.0,0
O00219,C2991,S010,2025-11-12,03:13:45,2025-11-12 03:13:45,cancelled,0.0,0
O00220,C1640,S035,2025-11-24,02:22:31,2025-11-24 02:22:31,cancelled,0.0,0
O00221,C0522,S002,2025-10-21,07:54:27,2025-10-21 07:54:27,completed,249.4,25
O00222,C1449,S010,2025-11-30,01:20:49,2025-11-30 01:20:49,cancelled,0.0,0
O00223,C2527,S022,2025-10-22,06:32:12,2025-10-22 06:32:12,completed,1412.48,24
O00224,C2447,S046,2025-11-06,05:30:34,2025-11-06 05:30:34,cancelled,0.0,0
O00225,C0441,S001,2025-11-03,14:05:22,2025-11-03 14:05:22,completed,1212.28,37
O00226,C1045,S031,2025-11-05,16:32:20,2025-11-05 16:32:20,completed,1479.49,27
O00227,C2660,S011,2025-11-09,00:49:29,2025-11-09 00:49:29,completed,1624.8,18
O00228,C0178,S015,2025-11-30,09:54:44,2025-11-30 09:54:44,cancelled,0.0,0
O00229,C0834,S036,2025-10-31,12:16:24,2025-10-31 12:16:24,cancelled,0.0,0
O00230,C0261,S035,2025-11-23,05:56:30,2025-11-23 05:56:30,completed,290.75,28
O00231,C0347,S045,2025-10-18,00:09:31,2025-10-18 00:09:31,cancelled,0.0,0
O00232,C2422,S043,2025-10-24,09:06:54,2025-10-24 09:06:54,completed,1250.72,15
O00233,C1560,S006,2025-11-22,23:27:00,2025-11-22 23:27:00,cancelled,0.0,0
O00234,C1781,S003,2025-11-05,17:25:31,2025-11-05 17:25:31,completed,1259.12,37
O00235,C1287,S038,2025-11-10,11:54:50,2025-11-10 11:54:50,cancelled,0.0,0
O00236,C1424,S037,2025-11-16,11:53:21,2025-11-16 11:53:21,cancelled,0.0,0
O00237,C0923,S005,2025-10-19,12:47:01,2025-10-19 12:47:01,completed,718.74,41
O00238,C1022,S009,2025-10-25,00:35:19,2025-10-25 00:35:19,cancelled,0.0,0
O00239,C2268,S037,2025-10-18,00:45:37,2025-10-18 00:45:37,completed,442.31,37
O00240,C0144,S005,2025-11-13,06:26:24,2025-11-13 06:26:24,completed,1660.52,24
O00241,C0162,S014,2025-12-01,09:12:02,2025-12-01 09:12:02,cancelled,0.0,0
O00242,C1981,S040,2025-10-31,20:50:08,2025-10-31 20:50:08,cancelled,0.0,0
O00243,C0118,S014,2025-11-23,00:33:13,2025-11-23 00:33:13,cancelled,0.0,0
O00244,C0555,S034,2025-11-15,11:38:55,2025-11-15 11:38:55,cancelled,0.0,0
O00245,C2047,S030,2025-10-26,17:29:35,2025-10-26 17:29:35,completed,1101.21,36
O00246,C0537,S039,2025-11-16,07:59:53,2025-11-16 07:59:53,completed,864.54,36
O00247,C0449,S008,2025-11-21,00:26:23,2025-11-21 00:26:23,cancelled,0.0,0
O00248,C1387,S038,2025-11-18,06:55:59,2025-11-18 06:55:59,cancelled,0.0,0
O00249,C2455,S013,2025-11-01,01:12:12,2025-11-01 01:12:12,cancelled,0.0,0
O00250,C1368,S020,2025-10-28,11:40:39,2025-10-28 11:40:39,completed,1794.26,23
O00251,C2565,S001,2025-11-06,07:51:10,2025-11-06 07:51:10,completed,879.7,21
O00252,C0817,S044,2025-11-14,23:31:41,2025-11-14 23:31:41,completed,1847.19,21
O00253,C0313,S022,2025-11-06,09:17:01,2025-11-06 09:17:01,cancelled,0.0,0
O00254,C1248,S005,2025-11-22,10:48:46,2025-11-22 10:48:46,completed,758.22,23
O00255,C2169,S036,2025-10-20,04:24:52,2025-10-20 04:24:52,cancelled,0.0,0
O00256,C0649,S037,2025-11-06,10:03:11,2025-11-06 10:03:11,cancelled,0.0,0
O00257,C0951,S041,2025-11-07,03:24:45,2025-11-07 03:24:45,cancelled,0.0,0
O00258,C0602,S002,2025-11-15,05:24:44,2025-11-15 05:24:44,cancelled,0.0,0
O00259,C2635,S035,2025-12-01,11:43:55,2025-12-01 11:43:55,cancelled,0.0,0
O00260,C0966,S023,2025-11-11,14:55:08,2025-11-11 14:55:08,cancelled,0.0,0
O00261,C1885,S048,2025-11-04,04:49:21,2025-11-04 04:49:21,cancelled,0.0,0
O00262,C1379,S044,2025-11-04,20:53:25,2025-11-04 20:53:25,completed,130.43,17
O00263,C2466,S014,2025-10-28,20:50:53,2025-10-28 20:50:53,cancelled,0.0,0
O00264,C0656,S013,2025-10-30,02:04:47,2025-10-30 02:04:47,completed,642.14,31
O00265,C1235,S015,2025-11-24,23:02:54,2025-11-24 23:02:54,cancelled,0.0,0
O00266,C1221,S050,2025-11-30,00:48:19,2025-11-30 00:48:19,completed,371.94,28
O00267,C2981,S001,2025-11-28,13:17:39,2025-11-28 13:17:39,completed,776.01,30
O00268,C2286,S012,2025-10-21,08:33:04,2025-10-21 08:33:04,completed,1691.21,43
O00269,C0800,S032,2025-11-15,14:40:33,2025-11-15 14:40:33,completed,85.44,31
O00270,C1816,S049,2025-11-22,04:19:29,2025-11-22 04:19:29,completed,392.62,42
O00271,C0468,S010,2025-11-12,16:07:22,2025-11-12 16:07:22,cancelled,0.0,0
O00272,C2564,S032,2025-11-19,09:55:30,2025-11-19 09:55:30,cancelled,0.0,0
O00273,C2344,S048,2025-12-01,13:05:05,2025-12-01 13:05:05,cancelled,0.0,0
O00274,C1107,S008,2025-11-22,01:57:12,2025-11-22 01:57:12,completed,897.39,30
O00275,C2972,S002,2025-11-14,09:19:41,2025-11-14 09:19:41,cancelled,0.0,0
O00276,C0942,S039,2025-10-29,13:00:48,2025-10-29 13:00:48,cancelled,0.0,0
O00277,C2721,S041,2025-10-18,18:02:20,2025-10-18 18:02:20,completed,1275.93,17
O00278,C2140,S038,2025-10-18,15:07:38,2025-10-18 15:07:38,cancelled,0.0,0
O00279,C0858,S032,2025-10-25,01:15:58,2025-10-25 01:15:58,completed,514.5,23
O00280,C2408,S007,2025-11-14,00:44:07,2025-11-14 00:44:07,cancelled,0.0,0
O00281,C2048,S040,2025-11-16,19:15:11,2025-11-16 19:15:11,cancelled,0.0,0
O00282,C0291,S044,2025-11-17,15:06:08,2025-11-17 15:06:08,completed,1517.71,24
O00283,C1940,S050,2025-11-26,16:09:57,2025-11-26 16:09:57,cancelled,0.0,0
O00284,C1566,S031,2025-11-07,08:42:36,2025-11-07 08:42:36,completed,50.7,31
O00285,C0059,S013,2025-11-26,02:10:41,2025-11-26 02:10:41,cancelled,0.0,0
O00286,C1279,S019,2025-11-13,06:21:59,2025-11-13 06:21:59,completed,238.32,15
O00287,C1104,S026,2025-11-18,11:50:11,2025-11-18 11:50:11,cancelled,0.0,0
O00288,C2168,S031,2025-10-27,12:34:39,2025-10-27 12:34:39,completed,1916.47,40
O00289,C1179,S020,2025-10-23,14:01:33,2025-10-23 14:01:33,cancelled,0.0,0
O00290,C1554,S023,2025-11-28,13:22:23,2025-11-28 13:22:23,cancelled,0.0,0
O00291,C1527,S048,2025-11-02,22:43:34,2025-11-02 22:43:34,completed,1372.16,45
O00292,C2265,S040,2025-11-16,15:25:17,2025-11-16 15:25:17,cancelled,0.0,0
O00293,C1315,S017,2025-11-15,11:55:48,2025-11-15 11:55:48,cancelled,0.0,0
